shape,hand,shape_name,ukeire_tiles,ukeire_type_count,ukeire_count,fixed_ryanmen_count,improve_neighbor_count,max_neighbor_ukeire_count,avg_neighbor_ukeire_count,score,distance_to_final,neighbor_count,neighbors
222479m,222479m33z,メンツ＋ターツ＋不要牌,8m,1,4,0,9,8,5.700000,"(4, 1, 9, 8, 5.7)",2,20,122279m 222247m 222249m 222279m 222347m 222349m 222379m 222447m 222449m 222457m 222459m 222467m 222469m 222477m 222499m 222579m 222679m 222779m 222799m 223479m
222489m,222489m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,7,8,5.300000,"(4, 1, 7, 8, 5.3)",1,20,122289m 222248m 222249m 222289m 222348m 222349m 222389m 222448m 222449m 222458m 222459m 222468m 222469m 222488m 222499m 222589m 222689m 222889m 222899m 223489m
222589m,222589m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,6,8,5.411765,"(4, 1, 6, 8, 5.41176)",1,17,122289m 222289m 222358m 222359m 222389m 222458m 222459m 222489m 222558m 222559m 222568m 222569m 222588m 222599m 222689m 222889m 222899m
222689m,222689m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,7,8,5.555556,"(4, 1, 7, 8, 5.55556)",1,18,122268m 122289m 222268m 222289m 222368m 222389m 222468m 222469m 222489m 222568m 222569m 222589m 222668m 222669m 222688m 222699m 222889m 222899m
223468m,223468m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,13,15,6.250000,"(4, 1, 13, 15, 6.25)",1,24,122346m 122348m 122368m 123468m 222346m 222348m 222368m 222468m 223346m 223348m 223446m 223448m 223456m 223458m 223466m 223488m 223489m 224568m 233468m 234468m 234568m 234668m 234688m 234689m
223479m,223479m33z,メンツ＋ターツ＋不要牌,8m,1,4,0,10,8,5.391304,"(4, 1, 10, 8, 5.3913)",2,23,122347m 122349m 122379m 123479m 222347m 222349m 222379m 222479m 223347m 223349m 223447m 223449m 223457m 223459m 223467m 223477m 223499m 233479m 234479m 234579m 234679m 234779m 234799m
223489m,223489m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,6,8,4.695652,"(4, 1, 6, 8, 4.69565)",1,23,122348m 122349m 122389m 123489m 222348m 222349m 222389m 222489m 223348m 223349m 223448m 223449m 223458m 223459m 223468m 223488m 223499m 233489m 234489m 234589m 234689m 234889m 234899m
233357m,233357m33z,メンツ＋ターツ＋不要牌,6m,1,4,0,13,14,6.714286,"(4, 1, 13, 14, 6.71429)",1,21,123335m 123337m 123357m 133357m 223335m 223337m 233335m 233337m 233345m 233347m 233355m 233377m 233378m 233379m 233457m 333357m 333457m 333557m 333577m 333578m 333579m
233368m,233368m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,8,8,5.333333,"(4, 1, 8, 8, 5.33333)",2,21,123336m 123338m 123368m 133368m 223336m 223338m 233336m 233338m 233346m 233348m 233356m 233366m 233388m 233389m 233468m 333368m 333468m 333568m 333668m 333688m 333689m
233379m,233379m33z,メンツ＋ターツ＋不要牌,8m,1,4,0,7,8,5.142857,"(4, 1, 7, 8, 5.14286)",1,21,123337m 123339m 123379m 133379m 223337m 223339m 233337m 233339m 233347m 233349m 233357m 233367m 233377m 233399m 233479m 333379m 333479m 333579m 333679m 333779m 333799m
233389m,233389m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,4,8,4.600000,"(4, 1, 4, 8, 4.6)",1,20,123338m 123339m 123389m 133389m 223338m 223339m 233338m 233339m 233348m 233349m 233368m 233388m 233399m 233489m 333389m 333489m 333589m 333689m 333889m 333899m
233468m,233468m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,16,15,6.708333,"(4, 1, 16, 15, 6.70833)",1,24,123346m 123348m 123368m 123468m 223346m 223348m 223468m 233346m 233348m 233368m 233446m 233448m 233456m 233458m 233466m 233488m 233489m 234468m 234568m 234668m 234688m 234689m 333468m 334568m
233479m,233479m33z,メンツ＋ターツ＋不要牌,8m,1,4,0,13,11,5.916667,"(4, 1, 13, 11, 5.91667)",2,24,123347m 123349m 123379m 123479m 223347m 223349m 223479m 233347m 233349m 233379m 233447m 233449m 233457m 233459m 233467m 233477m 233499m 234479m 234579m 234679m 234779m 234799m 333479m 334579m
233489m,233489m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,10,8,5.250000,"(4, 1, 10, 8, 5.25)",1,24,123348m 123349m 123389m 123489m 223348m 223349m 223489m 233348m 233349m 233389m 233448m 233449m 233458m 233459m 233468m 233488m 233499m 234489m 234589m 234689m 234889m 234899m 333489m 334589m
234469m,234469m33z,メンツ＋ターツ＋不要牌,5m,1,4,0,10,11,6.000000,"(4, 1, 10, 11, 6)",2,19,123446m 123449m 123469m 223446m 223449m 233446m 233449m 234446m 234449m 234466m 234467m 234468m 234479m 234489m 234499m 234669m 234679m 234689m 234699m
234479m,234479m33z,メンツ＋ターツ＋不要牌,8m,1,4,0,11,8,5.500000,"(4, 1, 11, 8, 5.5)",2,24,123447m 123449m 123479m 223447m 223449m 223479m 233447m 233449m 233479m 234447m 234449m 234457m 234459m 234467m 234469m 234477m 234499m 234579m 234679m 234779m 234799m 244479m 344479m 344579m
234489m,234489m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,9,8,5.166667,"(4, 1, 9, 8, 5.16667)",1,24,123448m 123449m 123489m 223448m 223449m 223489m 233448m 233449m 233489m 234448m 234449m 234458m 234459m 234468m 234469m 234488m 234499m 234589m 234689m 234889m 234899m 244489m 344489m 344589m
234589m,234589m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,12,11,5.600000,"(4, 1, 12, 11, 5.6)",1,30,123458m 123459m 123489m 123589m 134589m 223458m 223459m 223489m 233458m 233459m 233489m 234458m 234459m 234489m 234558m 234559m 234568m 234569m 234588m 234599m 234689m 234889m 234899m 245689m 334589m 344589m 345589m 345689m 345889m 345899m
234689m,234689m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,8,11,5.727273,"(4, 1, 8, 11, 5.72727)",1,22,123468m 123469m 123489m 123689m 223468m 223489m 233468m 233489m 234468m 234469m 234489m 234568m 234569m 234589m 234668m 234669m 234688m 234699m 234889m 234899m 245689m 345689m
244447m,244447m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,8,8,5.777778,"(4, 1, 8, 8, 5.77778)",2,18,124444m 124447m 224444m 224447m 244445m 244446m 244448m 244449m 244457m 244467m 244477m 244478m 244479m 444457m 444467m 444477m 444478m 444479m
244448m,244448m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,7,8,5.647059,"(4, 1, 7, 8, 5.64706)",2,17,124444m 124448m 224444m 224448m 244445m 244446m 244447m 244449m 244468m 244478m 244488m 244489m 444458m 444468m 444478m 444488m 444489m
