from,to,change,from_score,to_score,from_ukeire_count,to_ukeire_count,from_fixed_ryanmen_count,to_fixed_ryanmen_count
478899m,457889m,ツモ5m / 打9m,"(3, 1, 16, 12, 5.71429)","(8, 2, 2, 12, 6.70588)",3,8,0,1
478899m,457899m,ツモ5m / 打8m,"(3, 1, 16, 12, 5.71429)","(8, 2, 2, 12, 6.70588)",3,8,0,1
478899m,467899m,ツモ6m / 打8m,"(3, 1, 16, 12, 5.71429)","(8, 3, 1, 11, 6)",3,8,0,0
478899m,788899m,ツモ8m / 打4m,"(3, 1, 16, 12, 5.71429)","(8, 4, 1, 10, 4.16667)",3,8,0,0
478899m,788999m,ツモ9m / 打4m,"(3, 1, 16, 12, 5.71429)","(12, 5, 0, 7, 4.66667)",3,12,0,1
478999m,347999m,ツモ3m / 打8m,"(7, 3, 8, 12, 6.27273)","(8, 2, 2, 12, 6.77778)",7,8,1,1
478999m,457999m,ツモ5m / 打8m,"(7, 3, 8, 12, 6.27273)","(8, 2, 2, 12, 7)",7,8,1,1
478999m,778999m,ツモ7m / 打4m,"(7, 3, 8, 12, 6.27273)","(12, 5, 0, 8, 5.2)",7,12,1,1
478999m,788999m,ツモ8m / 打4m,"(7, 3, 8, 12, 6.27273)","(12, 5, 0, 7, 4.66667)",7,12,1,1
479999m,347999m,ツモ3m / 打9m,"(4, 1, 8, 8, 5.88235)","(8, 2, 2, 12, 6.77778)",4,8,0,1
479999m,457999m,ツモ5m / 打9m,"(4, 1, 8, 8, 5.88235)","(8, 2, 2, 12, 7)",4,8,0,1
479999m,467999m,ツモ6m / 打9m,"(4, 1, 8, 8, 5.88235)","(8, 2, 2, 12, 7.05882)",4,8,0,1
479999m,779999m,ツモ7m / 打4m,"(4, 1, 8, 8, 5.88235)","(8, 3, 1, 12, 5.66667)",4,8,0,0
488889m,348888m,ツモ3m / 打9m,"(4, 1, 6, 8, 5.41176)","(8, 2, 2, 12, 6.93333)",4,8,0,1
488889m,458888m,ツモ5m / 打9m,"(4, 1, 6, 8, 5.41176)","(8, 2, 2, 12, 7.07692)",4,8,0,1
488889m,468888m,ツモ6m / 打9m,"(4, 1, 6, 8, 5.41176)","(8, 2, 0, 8, 5.6)",4,8,0,0
488889m,888899m,ツモ9m / 打4m,"(4, 1, 6, 8, 5.41176)","(8, 3, 0, 4, 4)",4,8,0,0
488899m,348889m,ツモ3m / 打9m,"(4, 2, 4, 8, 4.93333)","(8, 2, 2, 12, 6)",4,8,0,1
488899m,458889m,ツモ5m / 打9m,"(4, 2, 4, 8, 4.93333)","(8, 2, 2, 12, 6.375)",4,8,0,1
488899m,788899m,ツモ7m / 打4m,"(4, 2, 4, 8, 4.93333)","(8, 4, 1, 10, 4.16667)",4,8,0,0
488899m,888899m,ツモ8m / 打4m,"(4, 2, 4, 8, 4.93333)","(8, 3, 0, 4, 4)",4,8,0,0
488999m,348999m,ツモ3m / 打8m,"(4, 2, 7, 12, 6)","(8, 2, 2, 12, 6.55556)",4,8,0,1
488999m,458999m,ツモ5m / 打8m,"(4, 2, 7, 12, 6)","(8, 2, 2, 12, 6.625)",4,8,0,1
488999m,688999m,ツモ6m / 打4m,"(4, 2, 7, 12, 6)","(8, 3, 0, 8, 5.23077)",4,8,0,0
488999m,788999m,ツモ7m / 打4m,"(4, 2, 7, 12, 6)","(12, 5, 0, 7, 4.66667)",4,12,0,1
488999m,889999m,ツモ9m / 打4m,"(4, 2, 7, 12, 6)","(8, 3, 0, 8, 4.33333)",4,8,0,0
489999m,348999m,ツモ3m / 打9m,"(4, 1, 6, 8, 5.41176)","(8, 2, 2, 12, 6.55556)",4,8,0,1
489999m,459999m,ツモ5m / 打8m,"(4, 1, 6, 8, 5.41176)","(8, 2, 2, 12, 6.76923)",4,8,0,1
489999m,468999m,ツモ6m / 打9m,"(4, 1, 6, 8, 5.41176)","(8, 2, 0, 8, 5.64706)",4,8,0,0
489999m,889999m,ツモ8m / 打4m,"(4, 1, 6, 8, 5.41176)","(8, 3, 0, 8, 4.33333)",4,8,0,0
555568m,555566m,ツモ6m / 打8m,"(8, 2, 1, 12, 6.28571)","(12, 4, 0, 8, 6.4)",8,12,1,1
555569m,555566m,ツモ6m / 打9m,"(8, 2, 1, 12, 6.18182)","(12, 4, 0, 8, 6.4)",8,12,1,1
555577m,455557m,ツモ4m / 打7m,"(8, 3, 1, 12, 6.33333)","(8, 2, 1, 12, 6.66667)",8,8,0,1
555577m,555778m,ツモ8m / 打5m,"(8, 3, 1, 12, 6.33333)","(12, 4, 0, 12, 6.90909)",8,12,0,1
555578m,555778m,ツモ7m / 打5m,"(8, 2, 2, 12, 7.42857)","(12, 4, 0, 12, 6.90909)",8,12,1,1
555578m,555788m,ツモ8m / 打5m,"(8, 2, 2, 12, 7.42857)","(12, 4, 0, 12, 6.54545)",8,12,1,1
555579m,455557m,ツモ4m / 打9m,"(8, 2, 0, 8, 5.71429)","(8, 2, 1, 12, 6.66667)",8,8,0,1
555588m,455558m,ツモ4m / 打8m,"(4, 2, 6, 12, 6.33333)","(8, 2, 1, 12, 6.46154)",4,8,0,1
555588m,555568m,ツモ6m / 打8m,"(4, 2, 6, 12, 6.33333)","(8, 2, 1, 12, 6.28571)",4,8,0,1
555588m,555788m,ツモ7m / 打5m,"(4, 2, 6, 12, 6.33333)","(12, 4, 0, 12, 6.54545)",4,12,0,1
555588m,555889m,ツモ9m / 打5m,"(4, 2, 6, 12, 6.33333)","(8, 3, 0, 8, 4.61538)",4,8,0,0
555589m,455558m,ツモ4m / 打9m,"(4, 1, 6, 8, 5.6)","(8, 2, 1, 12, 6.46154)",4,8,0,1
